,boxoffice,countries,daoyans,href,mean_people,mean_price,name,times,type
0,365078,中国/中国香港,林超贤 Dante Lam,http://www.cbooo.cn/m/655823,33,39,红海行动,2018-02-16,动作
1,339769,中国,陈思诚 Sicheng Chen,http://www.cbooo.cn/m/663419,39,39,唐人街探案2,2018-02-16,喜剧
2,309713,中国,文牧野 Muye Wen,http://www.cbooo.cn/m/676313,27,35,我不是药神,2018-07-05,剧情
3,254719,中国,闫非 Fei Yan,http://www.cbooo.cn/m/671983,28,35,西虹市首富,2018-07-27,喜剧
4,239053,美国,安东尼·罗素 Anthony Russo,http://www.cbooo.cn/m/675789,19,38,复仇者联盟3：无限战争,2018-05-11,动作
5,223707,中国香港/中国,许诚毅 Raman Hui,http://www.cbooo.cn/m/656875,44,38,捉妖记2,2018-02-16,喜剧
6,186815,美国,鲁本·弗雷斯彻 Ruben Fleischer,http://www.cbooo.cn/m/662209,17,36,毒液：致命守护者,2018-11-09,动作
7,169551,美国,胡安·安东尼奥·巴亚纳 Juan Antonio Bayona,http://www.cbooo.cn/m/667168,19,36,侏罗纪世界2,2018-06-15,动作
8,164667,中国,田羽生 Yusheng Tian,http://www.cbooo.cn/m/663359,27,35,前任3：再见前任,2017-12-29,喜剧
9,148843,美国,温子仁 James Wan,http://www.cbooo.cn/m/665526,19,36,海王,2018-12-07,动作
10,139666,美国,史蒂文·斯皮尔伯格 Steven Spielberg,http://www.cbooo.cn/m/657862,18,36,头号玩家,2018-03-30,科幻
11,136152,中国,刘若英 Rene Liu,http://www.cbooo.cn/m/663327,21,34,后来的我们,2018-04-28,爱情
12,135132,中国,黄渤 Bo Huang,http://www.cbooo.cn/m/677028,26,35,一出好戏,2018-08-10,喜剧
13,127348,中国/中国香港,庄文强 Felix Chong,http://www.cbooo.cn/m/678141,15,36,无双,2018-09-30,动作
14,124203,美国,克里斯托夫·迈考利 Christopher McQuarrie,http://www.cbooo.cn/m/657756,15,37,碟中谍6：全面瓦解,2018-08-31,动作
15,104891,美国,乔·德特杜巴 Jon Turteltaub,http://www.cbooo.cn/m/644333,22,38,巨齿鲨,2018-08-10,动作
16,100395,美国,布拉德·佩顿 Brad Peyton,http://www.cbooo.cn/m/676242,13,35,狂暴巨兽,2018-04-13,动作
17,89988,中国,苏伦 SuLun,http://www.cbooo.cn/m/676391,12,33,超时空同居,2018-05-18,奇幻
18,82927,美国/英国,佩顿·里德 Peyton Reed,http://www.cbooo.cn/m/676247,15,36,蚁人2：黄蜂女现身,2018-08-24,动作
19,79021,中国,饶晓志 Xiaozhi Rao,http://www.cbooo.cn/m/678587,12,35,无名之辈,2018-11-16,剧情
20,75430,中国,李芳芳 Fangfang Li,http://www.cbooo.cn/m/589946,18,31,无问西东,2018-01-12,剧情
21,74707,印度,阿德瓦·香登 Advait Chandan,http://www.cbooo.cn/m/670328,17,30,神秘巨星,2018-01-19,剧情
22,72738,中国,郑保瑞 Pou-Soi Cheang,http://www.cbooo.cn/m/644530,33,40,西游记女儿国,2018-02-16,喜剧
23,66975,美国,罗森·马歇尔·瑟伯 Rawson Marshall Thurber,http://www.cbooo.cn/m/662063,18,35,摩天营救,2018-07-20,动作
24,66259,美国,瑞恩·库格勒 Ryan Coogler,http://www.cbooo.cn/m/644135,17,36,黑豹,2018-03-09,动作
